% dwellings which are public housing,Distance to GPO (km),Public Housing Dwellings,Equivalent household income <$600/week,"Poor English proficiency, persons",Dwellings with no internet,"Aboriginal or Torres Strait Islander, persons","Holds degree or higher, persons",Population Density
3.8157894736842106,4.2641571257,87,400,305,246,16,1784,3082.440714341347
4.68417317246274,9.8815271597,66,265,45,193,12,877,2426.6654502494807
,134.213742556,<5,31,<5,17,8,73,0.8415220460207261
1.2265978050355069,124.859887434,19,137,<5,68,8,245,213.0594427378777
,14.7584183535,<5,121,14,64,7,84,210.81904178437867
1.0449651678277392,15.217033758,33,1029,411,745,29,854,1972.4450693159613
6.336853807670928,26.1760869046,114,778,765,443,28,388,2879.8314823312035
7.286515001648532,4.24850436176,221,506,214,394,14,2241,1850.2801495296967
5.0181065700982925,15.5964749897,97,817,420,512,28,623,1765.6962832720185
0.8921330089213301,134.823731105,22,627,5,369,31,403,1.79505849631854
4.32152117545376,131.268846491,50,428,8,317,5,253,396.89201976791935
0.6030150753768844,144.993258849,12,583,17,292,65,426,21.86272445150263
2.824858757062147,125.064157126,75,722,48,374,67,1095,950.801990413856
,253.148240315,<5,80,<5,46,<5,42,700.3155932105723
3.528801245459263,9.76296950588,68,402,136,238,16,1685,1737.2852339249805
0.7547169811320755,16.8852083939,6,229,41,157,<5,320,1805.7522721989333
6.469951272333514,24.4181444054,478,2312,1089,1322,112,2242,1850.8699205387284
,14.4129975819,<5,88,70,67,<5,77,729.7079236337061
9.492563429571304,15.4511571257,434,1893,1403,1386,42,1110,857.2169674382394
2.132151150517205,19.4057491395,101,1452,281,1091,34,1662,628.2652507851976
,198.866517084,<5,251,10,142,19,248,1.2311513402690155
,185.376891854,<5,206,6,129,14,132,400.2031869619123
0.8236434108527132,226.503159126,17,714,6,419,47,410,0.9496425358088604
8.449424591156875,203.911549023,279,1333,13,976,61,486,523.0537840861351
,184.694678199,<5,13,<5,13,5,55,133.0813448014626
2.6028547439126783,23.5078528853,31,458,337,344,13,250,1450.693716924538
2.08105147864184,8.30630220282,95,756,209,529,<5,3424,4269.894586893963
,88.7629466801,<5,32,<5,13,<5,85,44.4580911769501
4.330708661417323,158.541872321,22,124,<5,42,6,174,505.2707654062973
24.025548640681297,6.95874217182,1467,1604,795,1062,53,3686,3758.623596428179
17.553006604101494,14.1109122804,505,683,228,441,14,2267,2811.249684608445
15.350877192982455,15.6066393046,385,750,292,425,8,1547,2437.199209301231
,41.6212772483,<5,57,77,15,<5,327,1421.7640148796513
1.6941596076683014,28.8886971497,38,528,192,190,9,955,2126.4848517635724
1.340782122905028,27.039017491800003,36,586,91,373,15,1305,2283.0938563677364
0.9337068160597572,21.4904537121,10,237,80,124,11,335,669.6157422843391
,127.781157126,<5,117,<5,73,6,66,177.9120550227847
3.389830508474576,182.493490518,18,253,<5,168,<5,56,183.1334019748
2.526172052799272,12.3795029225,111,1596,1129,1167,18,1615,2147.271834649505
,59.7305649985,<5,45,<5,13,<5,37,1016.4177364166496
,147.680442,<5,30,<5,18,7,7,164.6686996847057
,68.3271571257,<5,218,17,132,8,232,2.9836950459524383
9.10312395028552,58.1981571257,542,1912,69,1141,166,1360,895.4588394634335
0.3701133472125839,384.007598426,16,1454,30,856,108,785,0.9656376156929882
14.21985815602837,281.562436363,802,2365,37,1489,533,859,507.41003712398594
,113.452137691,<5,41,7,15,<5,27,783.611430090258
,7.931102239689999,<5,22,<5,8,<5,77,3443.2712154142223
3.615702479338843,7.47632857524,105,605,213,356,10,1928,7152.156399764233
,89.3884080209,<5,545,8,287,29,481,6.384833277511378
6.762749445676275,79.7385317329,61,336,7,226,21,170,584.4599530754774
10.8197666042357,115.474185555,751,2710,65,1672,168,2230,1328.1282691171823
1.6797312430011198,114.924196288,45,863,40,481,36,1193,1582.3817944157065
5.483528161530287,108.464157126,258,1576,45,967,179,1336,29.30843933493336
13.875786163522012,112.076908662,353,1005,35,555,63,694,918.994115448696
11.409764125068568,115.061410867,208,705,6,477,39,547,1525.1086055370397
,340.479157126,<5,48,<5,27,<5,21,68.18477209211261
1.2636695018226003,83.6662801436,52,788,13,396,74,1018,72.55891839223253
0.5287009063444109,81.9681571257,7,276,<5,138,10,386,375.0248386116208
0.1843803503226656,14.2441069536,14,1714,993,991,27,6119,2382.37155516498
0.97323600973236,13.5875843051,52,1258,721,766,15,4188,3098.7247765578163
,45.7227773461,<5,281,7,214,<5,33,24.13503045675549
